idDistrito,NombreDistrito
10101,Carmen
10102,Merced
10103,Hospital
10104,Catedral
10105,Zapote
10106,San Francisco de Dos Ríos
10107,Uruca
10108,Mata Redonda
10109,Pavas
10110,Hatillo
10111,San Sebastian
10201,Escazu
10202,San Antonio
10203,San Rafael
10301,Desamparados
10302,San Miguel
10303,San Juan de Dios
10304,San Rafael Arriba
10305,San Antonio
10306,Frailes
10307,Patarra
10308,San Cristobal
10309,Rosario
10310,Damas
10311,San Rafael Abajo
10312,Gravillas
10313,Los Guido
10401,Santiago
10402,Mercedes Sur
10403,Barbacoas
10404,Grifo Alto
10405,San Rafael
10406,Candelarita
10407,Desamparaditos
10408,San Antonio
10409,Chires
10501,San Marcos
10502,San Lorenzo
10503,San Carlos
10601,Aserri
10602,Tarbaca
10603,Vuelta de Jorco
10604,San Gabriel
10605,Legua
10606,Monterrey
10607,Salitrillos
10701,Colon
10702,Guayabo
10703,Tabarcia
10704,Piedras Negras
10705,Picagres
10706,Jaris
10707,Quitirrisi
10801,Guadalupe
10802,San Francisco
10803,Calle Blancos
10804,Mata de Platano
10805,Ipis
10806,Rancho Redondo
10807,Purral
10901,Santa Ana
10902,Salitral
10903,Pozos
10904,Uruca
10905,Piedades
10906,Brasil
11001,Alajuelita
11002,San Josecito
11003,San Antonio
11004,Concepción
11005,San Felipe
11101,San Isidro
11102,San Rafael
11103,Dulce Nombre de Jesus
11104,Patalillo
11105,Cascajal
11201,San Ignacio de Acosta
11202,Guaitil
11203,Palmichal
11204,Cangrejal
11205,Sabanillas
11301,San Juan
11302,Cinco Esquinas
11303,Anselmo Llorente
11304,Leon XIII
11305,Colima
11401,San Vicente
11402,San Jeronimo
11403,La Trinidad
11501,San Pedro
11502,Sabanilla
11503,Mercedes
11504,San Rafael
11601,San Pablo
11602,San Pedro
11603,San Juan de Mata
11604,San Luis
11605,Carara
11701,Santa Maria
11702,Jardin
11703,Copey
11801,Curridabat
11802,Granadilla
11803,Sanchez
11804,Tirrases
11901,San Isidro del General
11902,General
11903,Daniel Flores
11904,Rivas
11905,San Pedro
11906,Platanares
11907,Pejibaye
11908,Cajon
11909,Baru
11910,Rio Nuevo
11911,Paramo
11912,La Amistad
12001,San Pablo
12002,San Andres
12003,Llano Bonito
12004,San Isidro
12005,Santa Cruz
12006,San Antonio
20101,Alajuela
20102,San Jose
20103,Carrizal
20104,San Antonio
20105,Guacima
20106,San Isidro
20107,Sabanilla
20108,San Rafael
20109,Rio Segundo
20110,Desamparados
20111,Turrucares
20112,Tambor
20113,La Garita
20114,Sarapiqui
20201,San Ramon
20202,Santiago
20203,San Juan
20204,Piedades Norte
20205,Piedades Sur
20206,San Rafael
20207,San Isidro
20208,Angeles
20209,Alfaro
20210,Volio
20211,Concepcion
20212,Zapotal
20213,Peñas Blancas
20214,San Lorenzo
20301,Grecia
20302,San Isidro
20303,San Jose
20304,San Roque
20305,Tacares
20306,Puente de Piedra
20307,Bolivar
20401,San Mateo
20402,Desmonte
20403,Jesus Maria
20404,Labrador
20501,Atenas
20502,Jesus
20503,Mercedes
20504,San Isidro
20505,Concepcion
20506,San Jose
20507,Santa Eulalia
20508,Escobal
20601,Naranjo
20602,San Miguel
20603,San Jose
20604,Cirri Sur
20605,San Jeronimo
20606,San Juan
20607,El Rosario
20608,Palmitos
20701,Palmares
20702,Zaragoza
20703,Buenos Aires
20704,Santiago
20705,Candelaria
20706,Esquipulas
20707,La Granja
20801,San Pedro
20802,San Juan
20803,San Rafael
20804,Carrillos
20805,Sabana Redonda
20901,Orotina
20902,Mastate
20903,Hacienda Vieja
20904,Coyolar
20905,La Ceiba
21001,Quesada
21002,Florencia
21003,Buenavista
21004,Aguas Zarcas
21005,Venecia
21006,Pital
21007,La Fortuna
21008,La Tigra
21009,La Palmera
21010,Venado
21011,Cutris
21012,Monterrey
21013,Pocosol
21101,Zarcero
21102,Laguna
21103,Tapezco
21104,Guadalupe
21105,Palmira
21106,Zapote
21107,Brisas
21201,Sarchi Norte
21202,Sarchi Sur
21203,Toro Amarillo
21204,San Pedro
21205,Rodriguez
21301,Upala
21302,Aguas Claras
21303,San Jose (Pizote)
21304,Bijagua
21305,Delicias
21306,Dos Rios
21307,Yolillal
21308,Canalete
21401,Los Chiles
21402,Caño Negro
21403,El Amparo
21404,San Jorge
21501,San Rafael
21502,Buenavista
21503,Cote
21504,Katira
21601,Rio Cuarto
21602,Santa Isabel
21603,Santa Rita
30101,Oriental
30102,Occidental
30103,Carmen
30104,San Nicolas
30105,Agua Caliente
30106,Guadalupe
30107,Corralillo
